Median_Income,House_Age,Avg_Rooms,Avg_Bedrooms,Population,Avg_Occupancy,Latitude,Longitude,House_Value
6.243561663863074,47,4.594670024923005,3.9636162246082858,3782,3.350788073150184,35.808903626246625,-116.65238188644656,1.864503993395049
14.310000289738827,12,4.664015304465583,2.265080598917227,3053,1.4494579277959425,36.96042726016583,-121.47856044161057,1.7336213944389587
11.247915185359671,16,7.355895641585521,1.4075695522640541,4582,2.327945885730811,32.07766642153969,-119.09189698731957,2.7266408565751337
9.381218778758512,24,9.95311488976934,2.4409356752017115,798,4.126530232212989,36.92092010350098,-123.24466730843092,4.270261318178388
3.1842609661941115,19,7.294713518795029,2.081573145538102,926,2.7482060873687506,41.86487401571729,-117.82133345587964,4.3717999725564285
3.183923284706837,8,6.462267338960199,4.37084760864222,448,3.5109816595893455,34.7826766081877,-117.34142233783723,3.081824368557532
1.8131705703547925,31,7.845204081913969,2.2533916703405725,4008,3.589831762982184,35.95418270242378,-120.21325790027217,4.44324345074695
13.126466040849092,21,5.721644898269745,4.1557298871040285,407,4.3750201759491745,38.87189996468677,-114.45577219678927,1.0217748367667623
9.415610164404923,17,2.4811387408062817,4.567488579242939,3516,2.299691177626565,40.147936675236586,-115.25831078517932,1.1406985261263864
10.913016089144637,23,6.4983745270232784,2.735269678306118,2434,3.7491822503300702,36.173916240061004,-116.92059084260005,4.647286374546971
1.2881829201412343,37,9.661002276043043,4.6397725754175685,4961,4.846463228184662,35.09668870401293,-116.86347925506257,4.101327719543664
14.57873793026792,16,3.402423538861277,2.5092722158527714,4920,3.920973337431472,41.378257999850675,-121.47598285057849,2.8028242330015427
12.654196971205904,6,7.520039126565326,4.856313665960433,2909,2.959481906870978,38.77144966671669,-117.43184768911551,4.014440525911949
3.972747549495866,8,3.607469509272452,1.3571580981022917,3658,3.522869777967717,33.19021304493141,-122.0179373476448,4.8225578468936865
3.5455495408994087,25,6.28662147578465,3.748077066012971,4578,3.9587315910524326,32.68927878134649,-122.55996776080178,4.08835809552514
3.5676631379480734,18,2.773411597173757,2.9752561618277147,3577,3.4491030627754897,36.835498507903694,-114.0053210579742,4.369485335273287
5.259391401433528,25,5.602967490065481,2.5505952218225882,4720,1.0667032539593566,34.200900660472726,-117.77624068526826,4.042426325560247
8.346590042851329,12,8.049306631161969,3.5308475149944036,2786,1.7790939907489034,34.53984753376253,-119.69012127342809,1.6728443697341664
7.047230260989621,15,4.780572193911857,3.8154283665373248,3085,4.241872868861864,40.776921788278486,-121.11835477116048,4.334296438582947
5.077207962772587,26,7.319293795897744,1.0174530786012363,375,2.0906025892499387,32.89566024316311,-117.96079556337773,1.7804352800968402
9.565940526113312,41,8.363599686317833,1.6678123549887949,2647,3.9262484782445357,39.1536411522889,-123.50406491779914,4.570445312176588
2.9529140491285855,45,9.417422555835621,3.852184202537275,2864,2.4884808609667948,34.71142253380588,-123.05319009495204,2.8345995923243037
5.090025079493055,26,3.8771366548436283,3.665541654312826,436,3.0875373126317727,39.60328221404138,-123.67143302259603,3.707907009244114
6.129065806111684,47,5.194527326474465,4.864190020514709,2073,1.2718931992776148,39.22411384463545,-119.00830166737339,2.988963391522574
7.384979779038503,32,3.2193281066433395,4.044151161003132,3079,1.7249022441988382,32.07391901444293,-117.99393370812817,1.3759637176664081
11.99246345950219,10,9.939868017267003,4.803090830925353,4676,4.828787854076938,37.09135412921599,-123.37520238642179,2.1628892304826604
3.7954329502170365,16,9.416007743394363,3.810162006139228,4068,4.5605522137876555,33.39319482378046,-116.78775532501083,4.9349274159880245
8.199282137790561,7,6.319657042244477,2.1922088345577726,1010,3.609100443596201,40.66227030578677,-121.69604928485435,4.842859006679269
9.293803964068594,17,8.73626635501137,1.421459689003426,2096,2.8385783895429495,40.715858828624064,-117.14798546230134,2.281947590622189
1.6503057780799681,23,6.1676638181763375,4.127295453379743,3229,3.703045171580895,36.18345807493758,-114.18102859964755,4.985187216980903
9.505627926620138,26,6.988685504022078,3.5765968859036636,4304,3.474441156375756,36.4439561845108,-117.08894129946148,4.382204781987598
3.3873377316220816,21,2.712995456928133,1.192744049573185,3857,3.2742090224184484,35.03282939404527,-115.16806947076391,3.4438379977290188
1.9107223017939132,22,8.042163363974463,2.4402018636039133,427,1.2367082874541673,39.16606298960031,-114.51801493256933,1.160498481044038
14.284397521546666,7,3.0217078690818786,4.827199261937144,1899,3.5312104426460276,35.586613630264594,-119.13248951647685,4.605787318153518
14.518848463043831,14,8.608541042020228,3.001604582840805,414,4.075680178284673,34.677924745226335,-116.97675020580293,3.229717117057279
12.317562873630456,15,8.256224701363088,2.7309165440788186,3645,4.976326618582302,36.32231059504508,-115.48030746444158,4.473904604811079
5.26459276842719,7,7.6699575819438115,2.830798420637176,1234,1.0443142103772387,32.914875183874585,-120.43391087125615,4.337716479622969
2.367409596089374,9,2.289283044198097,1.835530896020655,2846,3.9206938132427065,39.46603204644204,-121.38602683439605,4.332024860804344
10.579262371170197,51,4.425026847562629,2.474828683459181,4976,3.287157263743922,32.12596401271787,-114.53401427221661,3.7926954428596202
7.162134912354418,48,4.104900559286743,2.4792530239487065,1620,2.736208704323827,38.44485061520594,-116.73696499631183,2.1656605547041945
2.7085352878269036,8,4.881091259772153,1.2094200807498896,255,1.5102806982854835,33.82864526754872,-121.80317866624173,2.3446410309780794
7.932476741557783,50,2.7011419741107083,4.070270514071673,1824,2.636340594539505,34.32404046214413,-119.50916607323887,2.2338768503307453
1.4814392956130575,23,9.495662584248503,2.666017727615516,3443,2.417508731944541,38.3563199864004,-116.03548230462191,1.0801839981302588
13.73048562910295,29,6.43041792569901,4.288719547265693,986,2.2113195559149688,41.92943465782907,-118.52937009081558,3.3302756368592448
4.622919742400237,18,4.444194485264188,4.401392004479582,3173,3.9235184932888307,39.777174890725504,-117.50047901834111,3.7953346817841314
10.275311980955747,31,5.175852136594267,1.8479762187946323,2905,3.802902085137055,34.25839632223392,-116.46231797954948,4.415463974100814
